"ID","Player","Username","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","Olympics2016","OlympicsFinalist","AllStar","HighRated"
212,"Tobias Harris","harrito02","PF",26,"LAC",55,1903,18.2,0.605,0.302,0.256,2.1,21.3,12,12.5,1,1,10.3,23.5,3.2,1.8,5,0.127,1.6,-0.5,1.1,1.5,0,1,0,1
212,"Tobias Harris","harrito02","PF",26,"PHI",27,944,15.3,0.562,0.338,0.221,3.7,19.7,11.9,12.6,0.6,1.1,8.8,21.3,1.2,0.9,2.1,0.105,0.1,-0.8,-0.7,0.3,0,1,0,1
214,"Shaquille Harrison","harrish01","SG",25,"CHI",73,1430,12.4,0.494,0.209,0.289,2.5,14.5,8.4,14.1,3,1.8,11.1,16.5,-0.1,1.6,1.4,0.048,-2.7,1.4,-1.3,0.2,0,0,0,0
215,"Josh Hart","hartjo01","SG",23,"LAL",67,1715,9.3,0.526,0.591,0.172,2.2,12.6,7.5,7,1.7,1.9,10.4,13.5,0.2,1.9,2.1,0.059,-1.8,1.1,-0.7,0.6,0,0,0,0
218,"Gordon Hayward","haywago01","PF",28,"BOS",72,1863,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19,2.6,2.3,4.9,0.126,0.1,0.4,0.5,1.2,0,1,0,1
227,"George Hill","hillge01","PG",32,"TOT",60,1302,12.1,0.554,0.407,0.226,3.2,8.3,5.9,14,1.9,0.5,11,15.1,1.5,1.3,2.8,0.103,-0.6,-0.4,-1,0.3,0,0,0,0
230,"Jrue Holiday","holidjr01","SG",28,"NOP",67,2402,19.4,0.555,0.313,0.234,3.3,11,7.2,31.8,2.1,1.8,14.1,25.4,3.5,1.9,5.4,0.108,2.9,-0.1,2.8,2.9,0,0,0,0
231,"Justin Holiday","holidju01","SG",29,"TOT",82,2607,10,0.52,0.598,0.136,1.9,11.9,6.8,8.1,2.3,1.2,11.2,15.7,-0.4,2.5,2.1,0.038,-1.3,0.6,-0.8,0.8,0,0,0,0
234,"Richaun Holmes","holmeri01","C",25,"PHO",70,1184,20.7,0.647,0,0.479,10.6,20.5,15.5,7.9,1.7,5.6,10.5,17.9,3.1,1.1,4.3,0.173,-0.1,1.5,1.4,1,0,0,0,0
235,"Rodney Hood","hoodro01","SG",26,"TOT",72,1893,12.3,0.545,0.352,0.231,1.4,7.9,4.6,10,1.5,0.5,6.9,18.1,2.1,0.5,2.6,0.065,-0.2,-2.1,-2.4,-0.2,0,0,0,0
238,"Dwight Howard","howardw01","C",33,"WAS",9,230,17.4,0.638,0,0.696,11.1,28.3,19.6,2.6,1.4,1.5,15.1,19.6,0.4,0.2,0.6,0.124,-2.9,-2.3,-5.2,-0.2,0,1,0,1
239,"Kevin Huerter","huertke01","SG",20,"ATL",75,2048,10.1,0.533,0.537,0.085,3,9.7,6.3,14.5,1.5,1.1,13.8,15.7,0.7,0.7,1.5,0.034,-0.9,-1,-1.9,0.1,0,0,0,0
244,"Andre Iguodala","iguodan01","SF",35,"GSW",68,1578,13.1,0.587,0.477,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.2,1.7,1.9,1.6,0,0,0,0
248,"Brandon Ingram","ingrabr01","SF",21,"LAL",52,1760,13.4,0.555,0.129,0.396,2.5,13,7.8,12.9,0.7,1.4,13.1,23.2,0.6,1.4,2,0.055,-2.2,-0.6,-2.8,-0.3,0,1,0,1
250,"Jonathan Isaac","isaacjo01","PF",21,"ORL",75,1996,13,0.537,0.435,0.221,5.2,17,11,5.7,1.4,4.1,10.1,16.3,0.9,3.1,4,0.096,-1.9,2,0.1,1.1,0,0,0,0
251,"Wesley Iwundu","iwundwe01","SF",24,"ORL",68,1233,8.7,0.531,0.288,0.376,3.2,13,8,7.9,1.1,1.5,12.1,12.8,0.5,1.4,1.9,0.073,-3.4,0.7,-2.7,-0.2,0,0,0,0
253,"Frank Jackson","jacksfr01","PG",20,"NOP",61,1169,9.4,0.517,0.378,0.163,2.2,9.5,5.9,8,1,0.1,9.1,18.5,0.1,0.4,0.4,0.018,-2.2,-2.8,-5,-0.9,0,0,0,0
255,"Josh Jackson","jacksjo02","SG",21,"PHO",79,1988,10.6,0.487,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-4.3,-0.5,-4.8,-1.4,0,0,0,0
256,"Justin Jackson","jacksju01","SF",23,"TOT",81,1614,11.3,0.561,0.505,0.163,2.8,11,6.9,8.1,0.9,0.7,5.3,14.3,2,0.9,2.9,0.086,-0.4,-1.2,-1.6,0.2,0,0,0,0
258,"LeBron James","jamesle01","SF",34,"LAL",55,1937,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,4.7,2.6,7.2,0.179,6.2,1.9,8.1,4.9,0,1,1,2
266,"Stanley Johnson","johnsst04","SF",22,"TOT",66,1208,9.6,0.485,0.489,0.145,3,16.9,9.7,10.6,2.4,1,14.7,19.4,-1.1,1.6,0.5,0.021,-3.2,0.6,-2.6,-0.2,0,0,0,0
271,"Derrick Jones","jonesde02","SF",21,"MIA",60,1153,14,0.559,0.281,0.377,8.8,13.3,11.1,4.7,1.9,3.3,10.2,15.6,1.2,1.7,2.9,0.121,-1.3,1.5,0.2,0.6,0,0,0,0
275,"Tyus Jones","jonesty01","PG",22,"MIN",68,1560,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9,14.1,2.1,0.9,3,0.091,-0.3,-1.5,-1.8,0.1,0,0,0,0
276,"DeAndre Jordan","jordade01","C",30,"TOT",69,2047,19,0.674,0,0.592,11.7,35.2,23.5,11.6,1,3,21.4,15,4,3.1,7.1,0.167,-0.9,3.3,2.4,2.3,1,0,0,1
276,"DeAndre Jordan","jordade01","C",30,"DAL",50,1554,18,0.672,0,0.613,11.2,35.9,23.6,9.5,1,2.9,21.3,14.4,2.7,2.5,5.3,0.162,-1.4,3.4,2,1.6,1,0,0,1
276,"DeAndre Jordan","jordade01","C",30,"NYK",19,493,22.1,0.681,0,0.537,13.3,33,22.9,18.2,0.9,3.4,21.6,16.8,1.3,0.6,1.9,0.181,0.6,2.9,3.6,0.7,1,0,0,1
280,"Luke Kennard","kennalu01","SG",22,"DET",63,1437,11.9,0.56,0.517,0.117,0.9,13.5,7,12.3,0.9,0.6,9.4,18.1,1.3,1.3,2.5,0.085,-0.5,-1,-1.5,0.2,0,0,0,0
281,"Michael Kidd-Gilchrist","kiddgmi01","PF",25,"CHO",64,1179,13.3,0.553,0.142,0.37,7.9,14.8,11.3,7.4,1.3,2.9,10,15.7,1.5,1,2.5,0.1,-1.7,0.4,-1.3,0.2,0,0,0,0
285,"Kevin Knox","knoxke01","PF",19,"NYK",75,2158,8.7,0.475,0.398,0.247,2.9,13.6,8.1,6,1,0.9,10.1,22.3,-2.2,0.9,-1.3,-0.03,-3.6,-2.4,-6,-2.2,0,0,0,0
288,"Kyle Korver","korveky01","SG-PF",37,"TOT",70,1334,11.2,0.582,0.72,0.151,0.7,12.4,6.6,8.9,0.9,0.7,10.3,18.5,1,1.3,2.3,0.082,0,-1.5,-1.5,0.2,0,0,0,0
291,"Kyle Kuzma","kuzmaky01","PF",23,"LAL",70,2314,14,0.546,0.388,0.23,2.7,14.1,8.5,11.5,0.8,0.9,10,23.8,1.2,1.9,3.1,0.065,-0.3,-1.3,-1.7,0.2,0,1,0,1
293,"Jeremy Lamb","lambje01","SG",26,"CHO",79,2250,17.3,0.552,0.337,0.266,3.1,18.1,10.4,11.9,1.9,1.2,6.8,22.5,3.3,2,5.3,0.113,0.6,-0.6,0.1,1.2,0,0,0,0
294,"Zach LaVine","lavinza01","SG",23,"CHI",63,2171,18.7,0.574,0.283,0.33,2,12.9,7.4,22.6,1.3,1,14.2,30.5,1.7,1.1,2.8,0.062,1.8,-1.7,0,1.1,0,0,0,0
295,"Jake Layman","laymaja01","SF",24,"POR",71,1327,13.5,0.594,0.427,0.167,4.6,12.6,8.7,5.6,1.1,1.8,9.2,15.9,1.9,1.2,3.1,0.111,0.4,-0.6,-0.3,0.6,0,0,0,0
301,"Kawhi Leonard","leonaka01","SF",27,"TOR",60,2040,25.8,0.606,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1,8.4,30.3,6.1,3.4,9.5,0.224,4.3,0.7,5,3.6,0,1,1,2
302,"Meyers Leonard","leoname01","C",26,"POR",61,878,15.8,0.675,0.459,0.211,6.1,21.8,14.2,11.8,0.7,0.8,14,14.8,2.1,0.9,3,0.164,1.8,-0.4,1.4,0.8,0,0,0,0
305,"Damian Lillard","lillada01","PG",28,"POR",80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-1.1,5.5,5.4,0,1,1,2
306,"Jeremy Lin","linje01","PG",30,"TOT",74,1436,13.5,0.558,0.346,0.388,1.6,11.7,6.6,23.4,1.5,0.8,16.4,21.8,1.2,0.9,2.1,0.07,-1.1,-1.8,-2.9,-0.3,0,0,0,0
307,"Shaun Livingston","livinsh01","PG",33,"GSW",64,967,11.7,0.555,0.01,0.243,4.9,7.9,6.5,14.8,1.5,2.3,14.1,12,1.2,0.9,2,0.101,-1.9,0.5,-1.5,0.1,0,0,0,0
309,"Kevon Looney","looneke01","C",22,"GSW",80,1481,17.3,0.636,0.029,0.303,14.6,15.4,15,10.9,1.5,3,11.5,12.8,4.2,1.8,6,0.194,1.9,1.8,3.7,2.1,0,0,0,0
310,"Brook Lopez","lopezbr01","C",30,"MIL",81,2322,14.6,0.597,0.651,0.169,1.5,15,8.7,5.7,1,6.5,8.9,16.7,2.3,4.3,6.7,0.138,-0.2,2.9,2.7,2.8,0,1,0,1
311,"Robin Lopez","lopezro01","C",30,"CHI",74,1606,15.9,0.598,0.058,0.23,9.4,10,9.7,8.8,0.3,4.2,14,18.6,2,0.7,2.7,0.081,-1,-0.1,-1.1,0.4,0,0,0,0
312,"Kevin Love","loveke01","PF",30,"CLE",22,598,19.5,0.561,0.519,0.403,5.9,40,22.2,12.8,0.5,0.7,11.2,27.4,1,0.4,1.3,0.106,0.8,-2.4,-1.7,0,0,1,0,1
313,"Kyle Lowry","lowryky01","PG",32,"TOR",65,2213,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2,1.2,18.1,19.6,3.6,3,6.6,0.144,2.5,0.6,3.1,2.8,1,1,1,3
330,"Wesley Matthews","matthwe02","SF-SG",32,"TOT",69,2091,10.3,0.546,0.577,0.234,1.7,7.1,4.4,11.1,1.3,0.7,10.6,17.8,1.1,1.5,2.7,0.062,-0.3,-1.2,-1.5,0.3,0,0,0,0
334,"CJ McCollum","mccolcj01","SG",27,"POR",70,2375,17,0.553,0.358,0.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4,1.7,5.6,0.114,2.2,-1.9,0.3,1.3,0,0,0,0
335,"T.J. McConnell","mccontj01","PG",26,"PHI",76,1470,13.4,0.555,0.1,0.088,2.1,10.2,6.3,24.7,2.5,0.9,17.3,15,1.2,1.7,2.9,0.094,-1.7,0,-1.6,0.1,0,0,0,0
336,"Doug McDermott","mcderdo01","SF",27,"IND",77,1340,11.6,0.617,0.488,0.187,1.4,7.5,4.5,7.1,0.7,0.5,8.4,16.3,1.8,1.1,2.9,0.103,0,-2.1,-2.1,0,0,0,0,0
337,"JaVale McGee","mcgeeja01","C",31,"LAL",75,1671,21.8,0.634,0.019,0.237,12.3,22.5,17.5,4.8,1.3,7.3,13.2,20.2,3,2.9,5.9,0.171,-0.9,2.8,1.9,1.7,0,1,0,1
338,"Rodney McGruder","mcgruro01","SG",27,"MIA",66,1550,9.4,0.51,0.488,0.156,4.1,12.2,8.2,10.3,1.1,0.7,11.5,15.4,0.4,1.6,1.9,0.059,-1.9,-0.1,-2,0,0,0,0,0
339,"Alfonzo McKinnie","mckinal01","SF",26,"GSW",72,1003,11.2,0.569,0.429,0.175,9,16.9,13.1,4,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-0.9,-1.5,-2.5,-0.1,0,0,0,0
346,"Khris Middleton","middlkh01","SF",27,"MIL",77,2393,16.5,0.558,0.413,0.225,2.3,16.5,9.8,20.1,1.6,0.2,12.1,25.1,2.5,3.6,6.1,0.123,0.7,0.1,0.8,1.7,0,1,1,2
348,"Darius Miller","milleda01","SF",28,"NOP",69,1757,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-0.1,-1.5,-1.7,0.1,0,0,0,0
351,"Paul Millsap","millspa01","PF",33,"DEN",70,1895,17.9,0.57,0.239,0.374,8.7,20.2,14.4,10.6,2.2,2.5,10.9,19.6,3.2,2.9,6.1,0.155,0.5,1.9,2.4,2.1,0,0,0,0
354,"Donovan Mitchell","mitchdo01","SG",22,"UTA",77,2598,17.2,0.537,0.339,0.259,2.5,10.5,6.6,21.2,2,0.9,11.3,31.6,1.3,3.7,5,0.092,0.8,-0.2,0.6,1.7,0,1,0,1
