ID,Player,Username,Season,Age,Born,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
58,Bismack Biyombo,biyombi01,2018-19,26,cd,CHO,NBA,2,54,32,783,14.4,0,0.583,11,23.3,17,5.9,0.7,4.6,14.8,12.7,121,110,1.2,0.8,0.125,-2.5,1.5,-1.1,0.2
59,Thon Maker,makerth01,2018-19,21,ss,TOT,NBA,2,64,5,972,11.3,0.571,0.313,4.5,17.4,11,6.3,1,4.4,9.8,14.8,108,106,0.5,1.5,0.099,-2.4,1.7,-0.7,0.3
60,Ante Žižić,zizican01,2018-19,22,hr,CLE,NBA,2,59,25,1082,16.2,0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,116,117,1.7,0.3,0.087,-1.7,-1.4,-3.1,-0.3
61,Goran Dragić,dragigo01,2018-19,32,si,MIA,NBA,1.6,36,22,991,13.9,0.379,0.233,2.1,9.8,6,27.3,1.5,0.5,12.9,23.7,106,111,0.6,1,0.079,0.1,-1.3,-1.2,0.2
62,Rodions Kurucs,kurucro01,2018-19,20,lv,BRK,NBA,1.6,63,46,1294,11,0.41,0.205,4.6,15.4,10,6,1.5,1.5,13.6,18.4,102,109,0.1,1.5,0.059,-2.6,0.2,-2.4,-0.1
63,T.J. Leaf,leaftj01,2018-19,21,il,IND,NBA,1.6,58,1,522,16.9,0.169,0.169,9.3,17.1,13.3,6.9,0.8,3.2,5.8,17.5,119,107,0.9,0.7,0.148,-1,0,-1,0.1
64,Bruno Caboclo,cabocbr01,2018-19,23,br,MEM,NBA,1.5,34,19,800,12.4,0.578,0.222,5.8,16.5,11.1,9.4,0.9,3.9,13.3,15.9,109,109,0.6,0.9,0.09,-1,1.2,0.2,0.4
65,Cedi Osman,osmande01,2018-19,23,mk,CLE,NBA,1.5,76,75,2444,11.5,0.443,0.214,2,14.8,8.1,12.1,1.2,0.4,11,18.6,106,118,1.2,0.2,0.029,-0.4,-1.7,-2.1,-0.1
66,Thabo Sefolosha,sefolth01,2018-19,34,ch,UTA,NBA,1.5,50,2,609,12.1,0.523,0.148,1.4,20.1,10.9,6.1,3.4,0.7,13.6,12.9,107,102,0.2,1.2,0.115,-2,2.6,0.6,0.4
67,Jonah Bolden,boldejo01,2018-19,23,au,PHI,NBA,1.4,44,10,639,12.7,0.593,0.167,8,19,13.7,8.5,1.3,4.8,17.2,13.8,111,107,0.5,0.9,0.106,-0.8,2,1.2,0.5
68,Cristiano Felício,feliccr01,2018-19,26,br,CHI,NBA,1.4,60,0,746,13.4,0.022,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,116,114,0.9,0.4,0.088,-2.5,-1.1,-3.5,-0.3
69,Nenê Hilário,hilarne01,2018-19,36,br,HOU,NBA,1.4,42,2,546,11.9,0.026,0.405,6.7,18.4,12.5,6.8,1.6,2.3,7.4,11.7,122,110,0.8,0.6,0.123,-3,1.1,-2,0
70,Omri Casspi,casspom01,2018-19,30,il,MEM,NBA,1.3,36,0,520,15.7,0.267,0.36,3.6,21.5,12.4,8.1,1.9,1.6,11,18,112,107,0.6,0.7,0.119,-2,0.1,-1.8,0
71,Trey Lyles,lylestr01,2018-19,23,ca,DEN,NBA,1.2,64,2,1120,12.7,0.404,0.234,4.2,19.6,11.9,11.3,1.3,1.8,11.1,23.4,100,109,-0.2,1.4,0.05,-2.6,-0.7,-3.3,-0.4
72,Josh Okogie,okogijo01,2018-19,20,ng,MIN,NBA,1.2,74,52,1757,9.4,0.423,0.319,2.5,10.9,6.6,6.9,2.4,1.6,9.8,15.4,101,113,-0.1,1.4,0.034,-2,0.4,-1.7,0.1
73,Pau Gasol,gasolpa01,2018-19,38,es,TOT,NBA,1.1,30,6,360,16.7,0.138,0.426,6.7,34.2,20.6,19.1,0.7,3.5,12.5,15.6,116,106,0.5,0.5,0.142,-2.1,2.7,0.6,0.2
